(77961, 119)
(1036, 120)
(77962, 120)
(1037, 121)
(77963, 121)
(77964, 122)
(77965, 123)
(35350, 276)
(102017, 276)
(122571, 276)
(35349, 277)
(122570, 277)
(80973, 862)
(80972, 863)
(80971, 864)
(131154, 864)
(123175, 1420)
(72619, 1421)
(123176, 1421)
(185778, 1421)
(72620, 1422)
(123177, 1422)
(7682, 1600)
(101021, 1600)
(7681, 1601)
(101020, 1601)
(184690, 1601)
(148715, 1750)
(128163, 1751)
(148716, 1751)
(166167, 1751)
(128163, 2020)
(148716, 2020)
(166167, 2020)
(128162, 2021)
(166166, 2021)
(80007, 2154)
(28162, 2268)
(54056, 2268)
(68686, 2268)
(28161, 2269)
(54055, 2269)
(54054, 2270)
(35349, 2675)
(122570, 2675)
(35350, 2676)
(102017, 2676)
(122571, 2676)
(144787, 3158)
(144786, 3159)
(144785, 3160)
(144784, 3161)
(18021, 3292)
(4493, 3293)
(18022, 3293)
(4494, 3294)
(109488, 3376)
(118336, 3376)
(109487, 3377)
(137504, 3404)
(137505, 3405)
(156383, 3405)
(192899, 3405)
(192900, 3406)
(118335, 4486)
(109488, 4487)
(118336, 4487)
(245, 4521)
(246, 4522)
(247, 4523)
(107917, 4523)
(136284, 4799)
(132974, 4800)
(136285, 4800)
(188332, 4800)
(35350, 5250)
(102017, 5250)
(122571, 5250)
(122572, 5251)
(141006, 5332)
(17475, 5552)
(17476, 5553)
(81978, 5553)
(167592, 5553)
(17477, 5554)
(1522, 5770)
(1523, 5771)
(172778, 5771)
(56886, 5797)
(76652, 5797)
(7260, 5953)
(7261, 5954)
(68140, 5954)
(116720, 5954)
(68141, 5955)
(132974, 6096)
(136285, 6096)
(188332, 6096)
(132973, 6097)
(147423, 6169)
(191273, 6169)
(191272, 6170)
(148271, 6214)
(158767, 6214)
(148272, 6215)
(158768, 6215)
(168481, 6267)
(168480, 6268)
(168479, 6269)
(134031, 6451)
(3303, 6452)
(134030, 6452)
(149349, 6452)
(73162, 7290)
(73161, 7291)
(199888, 7291)
(156384, 7466)
(137505, 7467)
(156383, 7467)
(192899, 7467)
(156620, 7517)
(9080, 7968)
(5451, 7969)
(9079, 7969)
(5450, 7970)
(24087, 8017)
(36631, 8017)
(102833, 8038)
(102834, 8039)
(102835, 8040)
(104131, 8141)
(123099, 8141)
(104130, 8142)
(184689, 8300)
(7681, 8301)
(101020, 8301)
(184690, 8301)
(147425, 8662)
(147424, 8663)
(191274, 8663)
(147423, 8664)
(191273, 8664)
(147422, 8665)
(147421, 8666)
(7681, 8933)
(101020, 8933)
(184690, 8933)
(184689, 8934)
(184688, 8935)
(72619, 9040)
(123176, 9040)
(185778, 9040)
(123977, 9387)
(25696, 9643)
(33901, 9643)
(76092, 9643)
(7261, 9704)
(68140, 9704)
(116720, 9704)
(116719, 9705)
(24243, 10005)
(47433, 10005)
(93871, 10005)
(47432, 10006)
(167591, 10106)
(17476, 10107)
(81978, 10107)
(167592, 10107)
(111289, 10347)
(111290, 10348)
(116719, 10445)
(7261, 10446)
(68140, 10446)
(116720, 10446)
(77961, 10582)
(1036, 10583)
(77962, 10583)
(1037, 10584)
(77963, 10584)
(77964, 10585)
(1523, 11468)
(172778, 11468)
(172777, 11469)
(185779, 12162)
(72619, 12163)
(123176, 12163)
(185778, 12163)
(61800, 12443)
(25696, 12464)
(33901, 12464)
(76092, 12464)
(18023, 12622)
(4493, 12623)
(18022, 12623)
(4492, 12624)
(128163, 12744)
(148716, 12744)
(166167, 12744)
(17476, 13616)
(81978, 13616)
(167592, 13616)
(81979, 13617)
(167593, 13617)
(88345, 14229)
(88346, 14230)
(247, 14419)
(107917, 14419)
(248, 14420)
(3303, 14476)
(134030, 14476)
(149349, 14476)
(149350, 14477)
(104130, 14548)
(104131, 14549)
(123099, 14549)
(123100, 14550)
(24087, 14804)
(36631, 14804)
(24088, 14805)
(36632, 14805)
(24089, 14806)
(36633, 14806)
(11718, 14915)
(28162, 14997)
(54056, 14997)
(68686, 14997)
(24243, 15113)
(47433, 15113)
(93871, 15113)
(78956, 15277)
(80972, 15466)
(80971, 15467)
(131154, 15467)
(131153, 15468)
(188331, 15566)
(132974, 15567)
(136285, 15567)
(188332, 15567)
(188333, 15568)
(188334, 15569)
(188335, 15570)
(137505, 15701)
(156383, 15701)
(192899, 15701)
(192898, 15702)
(192897, 15703)
(99548, 16259)
(187542, 16259)
(93919, 16260)
(99549, 16260)
(187543, 16260)
(155093, 16437)
(190840, 16437)
(190839, 16438)
(28162, 16564)
(54056, 16564)
(68686, 16564)
(9080, 16797)
(5451, 16798)
(9079, 16798)
(9078, 16799)
(3302, 18513)
(149348, 18513)
(3303, 18514)
(134030, 18514)
(149349, 18514)
(3304, 18515)
(187539, 18654)
(187540, 18655)
(187541, 18656)
(99548, 18657)
(187542, 18657)
(93919, 18658)
(99549, 18658)
(187543, 18658)
(93920, 18659)
(99550, 18659)
(187544, 18659)
(187545, 18660)
(25696, 19453)
(33901, 19453)
(76092, 19453)
(76093, 19454)
(98595, 20107)
(56885, 20201)
(76651, 20201)
(56886, 20202)
(76652, 20202)
(73161, 20523)
(199888, 20523)
(155093, 20648)
(190840, 20648)
(155094, 20649)
(93919, 20731)
(99549, 20731)
(187543, 20731)
